run;a.Other-tax_cusco1;B-subtilis_cusco1;En-faecalis_cusco1;Es-coli_cusco1;L-fermentum_cusco1;L-monocytogenes_cusco1;P-aeruginosa_cusco1;Sa-enterica_cusco1;St-aureus_cusco1;a.Other-tax_cusco2;B-subtilis_cusco2;En-faecalis_cusco2;Es-coli_cusco2;L-fermentum_cusco2;L-monocytogenes_cusco2;P-aeruginosa_cusco2;Sa-enterica_cusco2;St-aureus_cusco2
Mock_db;0.006;0.202;0.087;0.103;0.159;0.144;0.044;0.109;0.147;0.006;0.211;0.086;0.1;0.158;0.144;0.045;0.108;0.143
RRN_db;0.136;0.15;0.077;0.097;0.134;0.131;0.038;0.087;0.149;0.14;0.157;0.075;0.094;0.132;0.13;0.039;0.086;0.147

